----------------------------------------
Sheet: Sepsis Das
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
;PPO;1,0;0,35714285714285715;0,38461538461538464
;Tabu Random;0,0;0,0;0,0
;SA Random;0,0;0,21428571428571427;0,6153846153846154
;PPO Random;0,0;0,42857142857142855;0,0

Avg Cycle Time
;Base;11106584,793484;10889027,631703;11738570,261513
;Reference;71718,78765313333;114388,32104914286;83654,69951392307
;Reference Random;14570,071604777777;108691,64652505881;143569,64733658824
;Reference Optimos;71718,78765313332;6096,850878200001;49050,924392333334
;SA;1738604,6374229998;7956488,8406095;9698842,916191
;Tabu Search;1527949,358666;9167885,206140334;10225921,162463
;PPO;71718,78765313332;6096,850878200001;49050,924392333334
;Tabu Random;1146321,9345179999;9011205,661427502;19606665,87749
;SA Random;15340975,238029815;191474,44820777775;172392,02882966667
;PPO Random;14570,071604777777;79599,66212518181;15676,560877875001

Best Cycle Time
;Base;11106584,793484;10889027,631703;11738570,261513
;Reference;1881,049952;5758,894295;4876,955837
;Reference Random;1902,422293;4281,555183;4876,955837
;Reference Optimos;1881,049952;5758,894295;4417,331559
;SA;1387596,572676;7093163,148311;9698842,916191
;Tabu Search;1527949,358666;8719642,930427;10225921,162463
;PPO;1881,049952;5758,894295;4417,331559
;Tabu Random;1066232,86583;8773247,048156;10438156,554526
;SA Random;191679,360313;4281,555183;4876,955837
;PPO Random;1902,422293;34311,619573;4562,449651

Best Batch Processing per Task
;Base;5616,119578882064;5493,551672953657;5988,204512152734
;Reference;0,00027399426555746833;27,256952185426183;0,0032952009429406243
;Reference Random;2,716420677146481;27,256952185426183;28,908036051674635
;Reference Optimos;0,00027399426555746833;56,91891248943792;0,0032952009429406243
;SA;475,8857726037451;2023,7887443965442;4975,994851847046
;Tabu Search;394,56373899004836;2207,7880878900896;5408,308208247644
;PPO;0,00027399426555746833;56,91891248943792;0,0032952009429406243
;Tabu Random;289,0783436125768;4020,2015831156896;142,05543645418584
;SA Random;18,733961344273666;27,256952185426183;28,908036051674635
;PPO Random;2,716420677146481;51,06223146743606;64,46026508778617

Best WT-Idle per Task
;Base;652728,4021586152;646583,128600121;753581,5599121194
;Reference;4,740016904910899;336,070575783829;481,3127572991887
;Reference Random;52,872113684214995;387,52242633172045;481,3127572991887
;Reference Optimos;4,740016904910899;336,070575783829;553,2472604884902
;SA;62330,90320604179;328432,4528995864;561512,8601593449
;Tabu Search;39471,602039032536;265318,23384260363;614175,6672436304
;PPO;4,740016904910899;336,070575783829;553,2472604884902
